1.00000,2.00000,1.00000
2.00000,3.00000,1.00000
3.00000,4.00000,1.00000
4.00000,10.00000,1.00000
10.00000,10.75000,1.00000
10.75000,11.50000,1.00000
11.50000,12.25000,1.00000
12.25000,13.00000,1.00000
13.00000,20.50000,1.00000
20.50000,28.00000,1.00000
28.00000,35.50000,1.00000
35.50000,43.00000,1.00000
43.00000,56.50000,1.00000
56.50000,70.00000,1.00000
70.00000,83.50000,1.00000
83.50000,97.00000,1.00000
97.00000,115.75000,1.00000
115.75000,134.50000,1.00000
134.50000,153.25000,1.00000
153.25000,172.00000,1.00000
172.00000,207.25000,1.00000
207.25000,242.50000,1.00000
242.50000,277.75000,1.00000
277.75000,313.00000,1.00000
313.00000,367.75000,1.00000
367.75000,422.50000,1.00000
422.50000,477.25000,1.00000
477.25000,532.00000,1.00000
532.00000,757.00000,1.00000
757.00000,913.00000,1.00000
913.00000,1174.00000,1.00000
1174.00000,1501.00000,1.00000
1501.00000,1858.00000,1.00000
1858.00000,2000.00000,1.00000
